WorkerId, Name, Role, SallaryPerHour, JoinDate, LeftDate, BirthDate, Email
0,Vincent Dunn,Conservator,113.26,1992-08-25,1998-01-31,1966-07-08,VincentDunn676@gmail.com
1,Jason Collins,Curators,73.10,1997-05-08,2003-06-05,1976-01-16,Jason_Collins640@gmail.com
2,Elizabeth Washington,Cleaner,39.46,2013-04-18,2015-01-11,1989-07-27,ElizabethWashington600@walla.com
3,Connie Haney,Guard,88.00,2019-11-14,2021-08-07,1960-03-03,Connie_Haney86@gmail.com
4,Tamara Velasquez,Manager,42.37,2018-09-29,2022-01-13,1985-02-09,Tamara_Velasquez338@hotmail.com
5,Virginia Clark,Educator/Guide,36.27,1995-08-13,2022-05-05,1952-11-04,VirginiaClark905@gmail.com
6,Walter Kelly,Curators,42.55,2014-12-06,2015-07-08,1978-12-16,WalterKelly100@hotmail.com
7,Briana Davis,Cleaner,58.24,2019-05-23,2019-06-19,1996-07-23,Briana_Davis463@hotmail.com
8,Bernard Guerra,Cleaner,33.00,2008-05-18,2022-04-15,1986-01-10,Bernard-Guerra173@outlook.com
9,Tyler Singh,Educator/Guide,107.48,2017-12-27,2022-01-14,1992-05-20,Tyler-Singh706@gmail.com
10,Brenda Johnson,Manager,58.67,2017-02-19,2017-09-08,1991-03-02,Brenda-Johnson827@walla.com
11,William Jennings,Exhibit Designer,100.12,2021-07-22,2022-04-30,1998-11-20,William_Jennings178@gmail.com
12,Charlotte West MD,Educator/Guide,109.19,2015-04-20,2022-03-19,1978-10-07,CharlotteWestMD119@gmail.com
13,Jamie Boyer,Registrar,51.92,1990-06-03,1997-05-23,1968-06-04,Jamie_Boyer507@hotmail.com
14,Shawn Black,Educator/Guide,104.21,2019-07-29,2022-02-03,1984-03-18,Shawn_Black877@outlook.com
15,Amy Richards,Archivist,71.36,1993-12-25,2009-08-12,1961-04-16,AmyRichards900@gmail.com
16,Kathleen Flowers,Archivist,33.82,2005-01-05,2011-06-03,1973-11-04,KathleenFlowers816@outlook.com
17,Kyle Brewer,Registrar,52.07,2005-09-15,2017-09-12,1964-10-13,Kyle-Brewer517@gmail.com
18,Brandy Estrada,Exhibit Designer,89.61,1986-12-14,2020-08-15,1957-08-14,Brandy_Estrada916@gmail.com
19,Dylan Davis,Cleaner,113.59,2022-03-24,2022-05-09,2000-01-03,Dylan-Davis753@gmail.com
20,Lisa Crosby,Educator/Guide,80.18,2010-09-28,2015-06-23,1966-08-23,Lisa-Crosby820@outlook.com
21,Walter Taylor,Conservator,57.48,2019-10-20,2022-02-15,1989-02-28,WalterTaylor363@hotmail.com
22,Jason Salazar,Exhibit Designer,42.13,1996-08-23,2015-12-23,1969-07-02,Jason_Salazar437@walla.com
23,Robert Love,Registrar,117.39,1995-04-12,2002-12-12,1957-09-24,RobertLove519@gmail.com
24,Robert Frazier,Archivist,48.02,2002-10-10,2017-01-07,1977-07-28,Robert-Frazier576@gmail.com
25,Ryan Nguyen,Guard,59.96,2010-10-04,2018-12-19,1966-05-18,RyanNguyen530@hotmail.com
26,Laurie Anderson,Conservator,45.43,2019-04-30,2020-08-18,1973-06-27,Laurie-Anderson778@gmail.com
27,William Duffy,Exhibit Designer,87.49,2018-09-01,2019-03-17,1992-10-24,WilliamDuffy294@gmail.com
28,Brenda Cabrera,Archivist,115.47,2004-10-07,2007-12-31,1982-02-09,BrendaCabrera475@outlook.com
29,Tina Mclean,Archivist,31.11,2022-05-06,2022-05-09,2001-04-28,Tina_Mclean468@gmail.com
30,William Mason,Cleaner,117.03,2018-12-02,2020-06-20,1997-05-07,William-Mason453@gmail.com
31,Katherine Sanchez,Manager,44.73,2000-06-26,2013-01-09,1978-05-04,KatherineSanchez452@outlook.com
32,Heather Harrington,Cleaner,69.87,2019-01-29,2022-02-28,1981-04-25,HeatherHarrington65@outlook.com
33,James Robinson,Curators,94.87,2012-10-15,2015-09-19,1961-11-30,JamesRobinson940@gmail.com
34,Diana Campbell,Manager,72.97,1998-06-02,2020-07-14,1969-07-31,Diana-Campbell15@gmail.com
35,Glenda Torres,Educator/Guide,67.60,2013-02-15,2015-02-23,1969-11-20,GlendaTorres499@gmail.com
36,Billy Cannon,Archivist,72.06,2017-11-21,2019-02-14,1990-06-05,Billy-Cannon63@gmail.com
37,Shawn Brown,Curators,62.62,2011-09-28,2018-05-27,1970-02-15,Shawn-Brown80@gmail.com
38,Renee Brown,Archivist,115.15,2002-10-24,2007-06-19,1973-10-15,Renee_Brown997@gmail.com
39,Samantha Thomas,Guard,60.21,2005-08-09,2011-08-17,1977-03-20,Samantha_Thomas426@gmail.com
40,Elizabeth White,Educator/Guide,117.33,2010-09-07,2019-12-23,1984-07-06,Elizabeth_White92@gmail.com
41,Renee Johns,Educator/Guide,75.12,2008-01-14,2020-02-09,1985-09-17,Renee_Johns167@gmail.com
42,Luke Lee,Conservator,109.20,2011-05-15,2012-05-28,1960-03-07,Luke-Lee428@hotmail.com
43,Barbara Murray,Archivist,32.60,2011-11-28,2016-08-28,1988-08-21,Barbara-Murray241@gmail.com
44,Ashley Frost,Manager,86.41,2019-05-02,2022-02-06,1995-08-30,Ashley_Frost709@gmail.com
45,Krystal Patrick,Registrar,65.74,2007-11-27,2012-03-21,1959-01-20,Krystal_Patrick118@gmail.com
46,Dawn Lane,Manager,75.94,2008-02-13,2012-09-14,1954-12-08,Dawn_Lane95@outlook.com
47,Sarah Williams,Archivist,105.43,1990-11-21,1999-06-10,1964-08-24,Sarah_Williams376@gmail.com
48,Vanessa Barber,Registrar,30.54,2010-02-06,2017-10-14,1971-11-23,Vanessa-Barber956@gmail.com
49,Kevin Ross,Manager,76.13,2012-11-05,2021-09-30,1989-06-17,Kevin_Ross941@hotmail.com
50,Lisa Wright,Exhibit Designer,80.71,2019-02-26,2020-08-27,1993-01-13,LisaWright104@outlook.com
51,Sara Davis,Educator/Guide,78.95,2022-03-01,2022-05-07,1956-03-07,Sara-Davis501@hotmail.com
52,Jessica Weber,Archivist,77.33,2019-02-28,2019-12-24,1980-11-17,Jessica-Weber7@outlook.com
53,Steven Nelson,Cleaner,77.55,1993-09-07,2000-06-11,1964-12-06,Steven-Nelson323@gmail.com
54,Michael Finley,Manager,89.41,1980-08-01,1994-02-18,1957-10-27,MichaelFinley502@outlook.com
55,Deborah Paul,Cleaner,39.48,2020-08-13,2022-02-24,1995-07-21,DeborahPaul88@gmail.com
56,Susan Weiss,Manager,43.19,2016-12-03,2022-02-27,1985-02-18,SusanWeiss547@walla.com
57,Carl Watson,Archivist,42.51,2011-02-12,2013-06-01,1972-05-30,Carl-Watson310@hotmail.com
58,Richard Lyons,Conservator,44.43,2012-01-13,2020-09-05,1955-05-13,RichardLyons829@gmail.com
59,Alexis Bishop,Exhibit Designer,32.49,1999-08-03,2001-02-01,1963-07-30,Alexis_Bishop860@gmail.com
60,Adam Mccoy,Manager,54.31,2003-02-01,2018-01-05,1957-11-30,Adam-Mccoy946@gmail.com
61,Timothy Smith,Guard,97.84,1996-09-29,2009-09-28,1972-04-20,TimothySmith695@walla.com
62,Megan Stephens,Exhibit Designer,112.97,2014-07-29,2020-02-12,1984-08-13,MeganStephens525@gmail.com
63,Emily Davis,Guard,53.26,2012-11-18,2020-05-28,1980-06-11,Emily_Davis843@gmail.com
64,Melissa Hicks,Guard,41.38,1984-12-27,2007-01-10,1961-04-29,Melissa-Hicks984@gmail.com
65,Richard Baird,Exhibit Designer,61.14,2016-08-24,2017-05-27,1992-09-13,Richard-Baird403@gmail.com
66,Luis Robbins,Conservator,104.43,1996-01-25,2008-08-27,1970-12-02,Luis_Robbins826@hotmail.com
67,Nancy Grant,Cleaner,51.87,2014-12-15,2022-01-09,1957-11-28,Nancy-Grant109@gmail.com
68,Lisa Morgan,Conservator,55.71,2021-07-18,2022-02-14,2000-06-11,LisaMorgan253@gmail.com
69,Jennifer Frey,Conservator,48.16,1987-03-06,2013-07-21,1952-06-13,Jennifer-Frey959@hotmail.com
70,Michelle Davis,Curators,105.00,2010-06-03,2022-04-18,1985-05-11,Michelle-Davis733@gmail.com
71,James Kline,Archivist,102.69,1993-03-31,1995-09-29,1969-12-27,James-Kline835@gmail.com
72,Maria Castro,Cleaner,118.10,2004-09-14,2011-01-28,1983-07-22,Maria-Castro620@gmail.com
73,Courtney Lee,Manager,43.59,2018-05-18,2020-02-07,1975-03-25,Courtney-Lee10@gmail.com
74,Hunter Powell,Educator/Guide,105.24,1998-12-26,2017-07-16,1959-05-28,Hunter-Powell533@walla.com
75,Max Rodriguez,Cleaner,116.05,1992-06-24,2010-12-03,1966-09-19,Max-Rodriguez741@gmail.com
76,Jocelyn Pacheco,Exhibit Designer,55.57,2020-04-10,2022-02-19,1995-02-20,Jocelyn-Pacheco15@outlook.com
77,Matthew Gonzalez,Cleaner,52.74,2019-05-27,2020-07-24,1980-03-01,Matthew-Gonzalez708@gmail.com
78,Susan Hines,Registrar,114.89,2015-09-28,2019-07-31,1959-11-14,Susan-Hines787@hotmail.com
79,Kathleen Green,Exhibit Designer,81.72,2018-06-05,2020-05-31,1992-10-14,Kathleen_Green7@hotmail.com
80,Yvette Hardin,Manager,60.48,2019-09-04,2020-04-01,1986-10-03,YvetteHardin688@outlook.com
81,Jessica Contreras,Exhibit Designer,35.91,2020-07-10,2021-08-26,1996-11-19,Jessica-Contreras302@outlook.com
82,Edward Dixon,Archivist,53.73,1999-02-14,2013-02-08,1972-06-24,Edward_Dixon18@gmail.com
83,Mark Sharp,Manager,104.60,2008-11-03,2011-11-13,1980-11-04,Mark_Sharp280@gmail.com
84,Anthony Clark,Curators,75.66,2019-10-21,2020-10-05,1953-01-11,Anthony-Clark516@outlook.com
85,Dana Hatfield,Archivist,97.75,2013-08-16,2017-08-21,1965-01-17,Dana_Hatfield547@gmail.com
86,Joel Hale,Curators,57.76,2004-03-09,2010-10-14,1963-01-22,JoelHale529@gmail.com
87,Jessica Mcmahon,Manager,41.32,2010-06-12,2010-08-05,1972-06-23,Jessica_Mcmahon712@gmail.com
88,Stacy Rios,Registrar,85.74,1992-11-04,2003-08-28,1953-01-30,Stacy_Rios134@outlook.com
89,Ashley Morrison,Exhibit Designer,103.25,2009-04-16,2012-05-16,1959-07-12,AshleyMorrison101@gmail.com
90,Dawn Berry,Archivist,67.97,2006-02-01,2021-09-19,1962-10-28,DawnBerry395@gmail.com
91,Michael Parrish,Manager,116.84,2014-04-24,2017-03-05,1984-10-03,Michael_Parrish325@walla.com
92,Derek Moore,Guard,47.83,2010-06-20,2018-08-13,1955-03-03,DerekMoore683@gmail.com
